"","speaker","plays","count_speaker","count_plays"
"50","abrahams og sanderus","Den politiske kandestøber Komedie",1,1
"51","advokaten","Den politiske kandestøber Komedie, Den stundesløse Komedie i 3 akter",29,2
"52","aesculapius","Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",14,1
"53","ammen","Barselsstuen Komedie",3,1
"54","andreas","Det arabiske pulver Komedie",15,1
"55","anføreren","Hekseri eller blind alarm Komedie i 5 akter",19,1
"56","anførerne","Ulysses von Ithacia eller En tysk komedie",2,1
"57","anklageren","Hekseri eller blind alarm Komedie i 5 akter",2,1
"58","anne kandestøbers","Barselsstuen Komedie, Den stundesløse Komedie i 3 akter, Julestue Komedie",25,3
"59","anneke","Den politiske kandestøber Komedie",16,1
"60","antonius","Den politiske kandestøber Komedie, Jean de France eller Hans Frandsen Komedie",64,2
"61","apelone","Hekseri eller blind alarm Komedie i 5 akter",45,1
"62","apicius","Den vægelsindede Komedie, Den vægelsindede Komedie i 3 akter",165,2
"63","apicius (","Den vægelsindede Komedie i 3 akter",2,1
"64","apollo","Nytårsprolog til en komedie Allerunderdanigst præsenteret af den hele danske bande 1723, Uden hoved og hale Komedie",6,2
"65","arianke","Barselsstuen Komedie, Den politiske kandestøber Komedie",25,2
"66","arv","Den honnette ambition Komedie i 3 akter, Hekseri eller blind alarm Komedie i 5 akter, Henrik og Pernille Komedie i 3 akter, Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer, Jean de France eller Hans Frandsen Komedie, Julestue Komedie, Kilderejsen Komedie i 3 akter, Maskerade Komedie, Republikken eller Det gemene bedste Komedie i 3 akter",353,9
"67","astrologus","Sganarels rejse til det filosofiske land Komedie i 1 akt hvori skæmtes med de gamle filosofiske sekter",8,1
"68","asverus","Ulysses von Ithacia eller En tysk komedie",2,1
"69","barberen","Den stundesløse Komedie i 3 akter",6,1
"70","baronen","Den honnette ambition Komedie i 3 akter, Jeppe på Bjerget eller Den forvandlede bonde",86,2
"71","barselskvinden","Barselsstuen Komedie",175,1
"72","bellona","Nytårsprolog til en komedie Allerunderdanigst præsenteret af den hele danske bande 1723",1,1
"73","betjenten","Don Ranudo de Colibrados eller Fattigdom og hoffærdighed Komedie i 5 akter, Hekseri eller blind alarm Komedie i 5 akter",22,2
"74","bogholderen","Den stundesløse Komedie i 3 akter",11,1
"75","bonden","Den pantsatte bondedreng Komedie i 3 akter, Den stundesløse Komedie i 3 akter, Don Ranudo de Colibrados eller Fattigdom og hoffærdighed Komedie i 5 akter, Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter, Ulysses von Ithacia eller En tysk komedie",229,5
"76","borgeren","Den politiske kandestøber Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie",17,2
"77","borgmesteren","Den politiske kandestøber Komedie",9,1
"78","borgmesterinden","Den politiske kandestøber Komedie",1,1
"79","bremenfeldt","Republikken eller Det gemene bedste Komedie i 3 akter",10,1
"80","byfogeden","Mester Gert Westphaler eller Den meget talende barber Komedie",9,1
"81","børnene","Julestue Komedie",2,1
"82","chilian","Ulysses von Ithacia eller En tysk komedie",216,1
"83","chiromanticus","Barselsstuen Komedie",18,1
"84","christine","Barselsstuen Komedie",7,1
"85","christoff","Den stundesløse Komedie i 3 akter, Den vægelsindede Komedie, Diderich Menschenskræk Komedie i 1 akt, Jacob von Tyboe eller Den stortalende soldat Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie",96,5
"86","christopher","Barselsstuen Komedie, Den vægelsindede Komedie i 3 akter, Julestue Komedie",56,3
"87","claus","Barselsstuen Komedie",9,1
"88","colombine","De usynlige Komedie i 3 akter",49,1
"89","corfitz","Barselsstuen Komedie, Den stundesløse Komedie i 3 akter",221,2
"90","cosmoligoreus","Philosophus i egen indbildning Komedie i 5 akter",223,1
"91","cupido","Nytårsprolog til en komedie Allerunderdanigst præsenteret af den hele danske bande 1723",1,1
"92","davus","Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",145,1
"93","de 2 komedianter","Hekseri eller blind alarm Komedie i 5 akter",1,1
"94","den bevæbnede","Melampe Tragikomedie",9,1
"95","den drukne","Det lykkelige skibbrud Komedie i 5 akter, Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",38,2
"96","den fremmede","Den 11. juni, Mester Gert Westphaler eller Den meget talende barber Komedie",12,2
"97","den fremmede person","Hekseri eller blind alarm Komedie i 5 akter",2,1
"98","den usynlige","De usynlige Komedie i 3 akter",79,1
"99","den usynliges broder","De usynlige Komedie i 3 akter",32,1
"100","dido","Ulysses von Ithacia eller En tysk komedie",24,1
"101","diogenes","Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",87,1
"102","dobre podolsky","Den honnette ambition Komedie i 3 akter",26,1
"103","doktor","Jeppe på Bjerget eller Den forvandlede bonde",5,1
"104","doktor bombastus","Barselsstuen Komedie, Kilderejsen Komedie i 3 akter, Sganarels rejse til det filosofiske land Komedie i 1 akt hvori skæmtes med de gamle filosofiske sekter",68,3
"105","dommeren","Det lykkelige skibbrud Komedie i 5 akter, Hekseri eller blind alarm Komedie i 5 akter, Jeppe på Bjerget eller Den forvandlede bonde",167,3
"106","don ranudo","Don Ranudo de Colibrados eller Fattigdom og hoffærdighed Komedie i 5 akter",166,1
"107","donna maria","Don Ranudo de Colibrados eller Fattigdom og hoffærdighed Komedie i 5 akter",9,1
"108","donna olympia","Don Ranudo de Colibrados eller Fattigdom og hoffærdighed Komedie i 5 akter",79,1
"109","dorothea","Melampe Tragikomedie",85,1
"110","dorthe","Barselsstuen Komedie",14,1
"111","drengen","Den 11. juni, Den pantsatte bondedreng Komedie i 3 akter, Den politiske kandestøber Komedie, Den vægelsindede Komedie, Den vægelsindede Komedie i 3 akter, Hekseri eller blind alarm Komedie i 5 akter, Jean de France eller Hans Frandsen Komedie, Maskerade Komedie",62,8
"112","eleonora","Uden hoved og hale Komedie",22,1
"113","elisa","Ulysses von Ithacia eller En tysk komedie",18,1
"114","ellen","Barselsstuen Komedie",1,1
"115","else","Barselsstuen Komedie, Julestue Komedie",17,2
"116","elsebet","Den forvandlede brudgom Komedie i 1 akt uden aktører, Jean de France eller Hans Frandsen Komedie",35,2
"117","elvire","Diderich Menschenskræk Komedie i 1 akt",45,1
"118","en af de fremmede","Det arabiske pulver Komedie",1,1
"119","en anden borger","Den politiske kandestøber Komedie",1,1
"120","en anden dreng","Den politiske kandestøber Komedie, Hekseri eller blind alarm Komedie i 5 akter",3,2
"121","en anden vært","Den pantsatte bondedreng Komedie i 3 akter",2,1
"122","en borger","Den politiske kandestøber Komedie",1,1
"123","en filosof","Sganarels rejse til det filosofiske land Komedie i 1 akt hvori skæmtes med de gamle filosofiske sekter",3,1
"124","en gårdskarl","Hekseri eller blind alarm Komedie i 5 akter",6,1
"125","en karl","Maskerade Komedie",2,1
"126","en kavaler","Melampe Tragikomedie",2,1
"127","en officer med knebelsbarter","Barselsstuen Komedie",2,1
"128","en person","Hekseri eller blind alarm Komedie i 5 akter",2,1
"129","en pige","Barselsstuen Komedie, Den politiske kandestøber Komedie, Det lykkelige skibbrud Komedie i 5 akter, Hekseri eller blind alarm Komedie i 5 akter, Melampe Tragikomedie, Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",66,6
"130","en ridder","Ulysses von Ithacia eller En tysk komedie",1,1
"131","engelke","Den politiske kandestøber Komedie",5,1
"132","ephraim","Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer",25,1
"133","eraste","Den vægelsindede Komedie i 3 akter",64,1
"134","erich madsen","Den stundesløse Komedie i 3 akter",42,1
"135","erik lakaj","Jeppe på Bjerget eller Den forvandlede bonde",7,1
"136","espen","Den vægelsindede Komedie, Den vægelsindede Komedie i 3 akter, Jean de France eller Hans Frandsen Komedie",105,3
"137","et spøgelse","Melampe Tragikomedie",3,1
"138","euclio","Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",5,1
"139","filosoffen","Sganarels rejse til det filosofiske land Komedie i 1 akt hvori skæmtes med de gamle filosofiske sekter",39,1
"140","fiskeren","Melampe Tragikomedie",20,1
"141","flensborgeren","Mester Gert Westphaler eller Den meget talende barber Komedie",20,1
"142","frands","Jean de France eller Hans Frandsen Komedie",97,1
"143","frantz knivsmed","Den politiske kandestøber Komedie",11,1
"144","frantz parykmager","Den politiske kandestøber Komedie",2,1
"145","fremmede","Den 11. juni",12,1
"146","fruen","Barselsstuen Komedie, Det arabiske pulver Komedie, Det lykkelige skibbrud Komedie i 5 akter, Diderich Menschenskræk Komedie i 1 akt, Hekseri eller blind alarm Komedie i 5 akter",43,5
"147","gejsten","Melampe Tragikomedie, Uden hoved og hale Komedie",4,2
"148","gert buntmager","Den politiske kandestøber Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie i 1 akt",252,3
"149","geske","Barselsstuen Komedie, Den politiske kandestøber Komedie",89,2
"150","gilbert","Mester Gert Westphaler eller Den meget talende barber Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie i 1 akt",43,2
"151","gonzalo","Don Ranudo de Colibrados eller Fattigdom og hoffærdighed Komedie i 5 akter",22,1
"152","gothard","Barselsstuen Komedie",18,1
"153","gottard","Mester Gert Westphaler eller Den meget talende barber Komedie i 1 akt, Pernilles korte frøkenstand Komedie i 3 akter",20,2
"154","gottfried","Det lykkelige skibbrud Komedie i 5 akter",79,1
"155","greven","Den pantsatte bondedreng Komedie i 3 akter",1,1
"156","gunild","Barselsstuen Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie i 1 akt",79,3
"157","gunnild","Uden hoved og hale Komedie",19,1
"158","gusman","Melampe Tragikomedie",13,1
"159","gusmann","Don Ranudo de Colibrados eller Fattigdom og hoffærdighed Komedie i 5 akter",38,1
"160","hadersleveren","Mester Gert Westphaler eller Den meget talende barber Komedie",10,1
"161","hammer","Den danske komedies ligbegængelse Med Thaliæ afskedstale, forestillet til allersidste slutning af de danske aktører den 25. februar 1727",8,1
"162","harlekin","De usynlige Komedie i 3 akter",200,1
"163","helene","Den vægelsindede Komedie i 3 akter, Ulysses von Ithacia eller En tysk komedie",57,2
"164","henning","Julestue Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie",9,2
"165","henrik","Den 11. juni, Den danske komedies ligbegængelse Med Thaliæ afskedstale, forestillet til allersidste slutning af de danske aktører den 25. februar 1727, Den honnette ambition Komedie i 3 akter, Den politiske kandestøber Komedie, Den vægelsindede Komedie i 3 akter, Det arabiske pulver Komedie, Det lykkelige skibbrud Komedie i 5 akter, Diderich Menschenskræk Komedie i 1 akt, Hekseri eller blind alarm Komedie i 5 akter, Henrik og Pernille Komedie i 3 akter, Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer, Kilderejsen Komedie i 3 akter, Maskerade Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie i 1 akt, Pernilles korte frøkenstand Komedie i 3 akter, Republikken eller Det gemene bedste Komedie i 3 akter, Uden hoved og hale Komedie",2068,17
"166","herman von bremenfeld","Den politiske kandestøber Komedie, Hekseri eller blind alarm Komedie i 5 akter, Republikken eller Det gemene bedste Komedie i 3 akter",202,3
"167","herren","Hekseri eller blind alarm Komedie i 5 akter",46,1
"168","holophernes","Ulysses von Ithacia eller En tysk komedie",6,1
"169","hyacinthe","Diderich Menschenskræk Komedie i 1 akt",11,1
"170","haagen","Uden hoved og hale Komedie",67,1
"171","indenfor [studerende]","Den 11. juni",7,1
"172","ingeborg","Barselsstuen Komedie",8,1
"173","iris","Ulysses von Ithacia eller En tysk komedie",7,1
"174","isabella","Don Ranudo de Colibrados eller Fattigdom og hoffærdighed Komedie i 5 akter",65,1
"175","iversen","Den vægelsindede Komedie",21,1
"176","jacob","Den 11. juni, Erasmus Montanus eller Rasmus Berg Komedie i 5 akter, Jeppe på Bjerget eller Den forvandlede bonde",165,3
"177","jean","Hekseri eller blind alarm Komedie i 5 akter, Jean de France eller Hans Frandsen Komedie",171,2
"178","jens","Den stundesløse Komedie i 3 akter, Jacob von Tyboe eller Den stortalende soldat Komedie",80,2
"179","jens griffel","Den stundesløse Komedie i 3 akter, Jacob von Tyboe eller Den stortalende soldat Komedie",81,2
"180","jeppe","Erasmus Montanus eller Rasmus Berg Komedie i 5 akter, Jeppe på Bjerget eller Den forvandlede bonde",259,2
"181","jeronimus","Barselsstuen Komedie, Den honnette ambition Komedie i 3 akter, Det lykkelige skibbrud Komedie i 5 akter, Diderich Menschenskræk Komedie i 1 akt, Erasmus Montanus eller Rasmus Berg Komedie i 5 akter, Henrik og Pernille Komedie i 3 akter, Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer, Jean de France eller Hans Frandsen Komedie, Julestue Komedie, Kilderejsen Komedie i 3 akter, Maskerade Komedie, Pernilles korte frøkenstand Komedie i 3 akter, Philosophus i egen indbildning Komedie i 5 akter",1399,13
"182","jesper oldfux","Erasmus Montanus eller Rasmus Berg Komedie i 5 akter, Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer, Jacob von Tyboe eller Den stortalende soldat Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie i 1 akt",297,5
"183","jochum","Den politiske kandestøber Komedie",1,1
"184","jomfruen","Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",11,1
"185","juno","Ulysses von Ithacia eller En tysk komedie",8,1
"186","jupiter","Uden hoved og hale Komedie",6,1
"187","juveleren","Den pantsatte bondedreng Komedie i 3 akter",27,1
"188","jøden","Den 11. juni, Det arabiske pulver Komedie, Diderich Menschenskræk Komedie i 1 akt",98,3
"189","jørgen handskemager","Mester Gert Westphaler eller Den meget talende barber Komedie",17,1
"190","kammertjener","Jeppe på Bjerget eller Den forvandlede bonde",23,1
"191","karen","Barselsstuen Komedie",3,1
"192","karlene","Den stundesløse Komedie i 3 akter",1,1
"193","kavaleren","Den vægelsindede Komedie, Det lykkelige skibbrud Komedie i 5 akter, Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",48,3
"194","kirsten","Den forvandlede brudgom Komedie i 1 akt uden aktører",60,1
"195","knud","Den 11. juni",7,1
"196","kokken","Det arabiske pulver Komedie",5,1
"197","konen","Barselsstuen Komedie, Den pantsatte bondedreng Komedie i 3 akter, Hekseri eller blind alarm Komedie i 5 akter, Jeppe på Bjerget eller Den forvandlede bonde, Maskerade Komedie",32,5
"198","korporal","Diderich Menschenskræk Komedie i 1 akt",2,1
"199","kusken","Kilderejsen Komedie i 3 akter",7,1
"200","kællingen","Barselsstuen Komedie, Den politiske kandestøber Komedie, Hekseri eller blind alarm Komedie i 5 akter, Mester Gert Westphaler eller Den meget talende barber Komedie",43,4
"201","kæresten","Hekseri eller blind alarm Komedie i 5 akter",4,1
"202","købmanden","Den 11. juni",8,1
"203","lakaj","Den honnette ambition Komedie i 3 akter, Den politiske kandestøber Komedie, Den vægelsindede Komedie, Den vægelsindede Komedie i 3 akter, Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer, Jeppe på Bjerget eller Den forvandlede bonde, Kilderejsen Komedie i 3 akter",78,7
"204","lakajerne","Den pantsatte bondedreng Komedie i 3 akter",1,1
"205","lars","Den stundesløse Komedie i 3 akter, Hekseri eller blind alarm Komedie i 5 akter",9,2
"206","laurentia","Den forvandlede brudgom Komedie i 1 akt uden aktører",7,1
"207","leander","De usynlige Komedie i 3 akter, Den honnette ambition Komedie i 3 akter, Den pantsatte bondedreng Komedie i 3 akter, Den stundesløse Komedie i 3 akter, Det arabiske pulver Komedie, Det lykkelige skibbrud Komedie i 5 akter, Diderich Menschenskræk Komedie i 1 akt, Hekseri eller blind alarm Komedie i 5 akter, Henrik og Pernille Komedie i 3 akter, Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer, Julestue Komedie, Kilderejsen Komedie i 3 akter, Maskerade Komedie, Melampe Tragikomedie, Pernilles korte frøkenstand Komedie i 3 akter, Philosophus i egen indbildning Komedie i 5 akter, Republikken eller Det gemene bedste Komedie i 3 akter, Sganarels rejse til det filosofiske land Komedie i 1 akt hvori skæmtes med de gamle filosofiske sekter, Uden hoved og hale Komedie",2120,19
"208","leander og oldfux","Den stundesløse Komedie i 3 akter",1,1
"209","leanders vært","Julestue Komedie",1,1
"210","leerbeutel","Den pantsatte bondedreng Komedie i 3 akter, Republikken eller Det gemene bedste Komedie i 3 akter",134,2
"211","leonard","Den honnette ambition Komedie i 3 akter, Den stundesløse Komedie i 3 akter, Henrik og Pernille Komedie i 3 akter, Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer, Jacob von Tyboe eller Den stortalende soldat Komedie, Kilderejsen Komedie i 3 akter, Maskerade Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie i 1 akt, Pernilles korte frøkenstand Komedie i 3 akter",371,9
"212","leonora","Den forvandlede brudgom Komedie i 1 akt uden aktører, Den stundesløse Komedie i 3 akter, Det arabiske pulver Komedie, Det lykkelige skibbrud Komedie i 5 akter, Don Ranudo de Colibrados eller Fattigdom og hoffærdighed Komedie i 5 akter, Henrik og Pernille Komedie i 3 akter, Jacob von Tyboe eller Den stortalende soldat Komedie, Julestue Komedie, Kilderejsen Komedie i 3 akter, Maskerade Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie i 1 akt, Philosophus i egen indbildning Komedie i 5 akter, Republikken eller Det gemene bedste Komedie i 3 akter",562,13
"213","leonore","Den honnette ambition Komedie i 3 akter, Den vægelsindede Komedie i 3 akter, Pernilles korte frøkenstand Komedie i 3 akter",146,3
"214","lisbed","Erasmus Montanus eller Rasmus Berg Komedie i 5 akter",26,1
"215","lucie","Pernilles korte frøkenstand Komedie i 3 akter",10,1
"216","lucilia","Jacob von Tyboe eller Den stortalende soldat Komedie, Melampe Tragikomedie",35,2
"217","lucretia","Den 11. juni, Den vægelsindede Komedie, Den vægelsindede Komedie i 3 akter, Hekseri eller blind alarm Komedie i 5 akter",221,4
"218","løjtnant","Erasmus Montanus eller Rasmus Berg Komedie i 5 akter",36,1
"219","madame abrahamsens","Den politiske kandestøber Komedie",4,1
"220","madame la fleche","Jean de France eller Hans Frandsen Komedie",13,1
"221","madame sanderus","Den politiske kandestøber Komedie",4,1
"222","madame ståbi","Den pantsatte bondedreng Komedie i 3 akter",21,1
"223","mademoiselle hiort","Den danske komedies ligbegængelse Med Thaliæ afskedstale, forestillet til allersidste slutning af de danske aktører den 25. februar 1727",10,1
"224","magdelone","De usynlige Komedie i 3 akter, Den honnette ambition Komedie i 3 akter, Den stundesløse Komedie i 3 akter, Det lykkelige skibbrud Komedie i 5 akter, Erasmus Montanus eller Rasmus Berg Komedie i 5 akter, Henrik og Pernille Komedie i 3 akter, Jean de France eller Hans Frandsen Komedie, Julestue Komedie, Kilderejsen Komedie i 3 akter, Maskerade Komedie, Pernilles korte frøkenstand Komedie i 3 akter",418,11
"225","magnus","Jeppe på Bjerget eller Den forvandlede bonde",8,1
"226","manden","Den politiske kandestøber Komedie, Den vægelsindede Komedie, Hekseri eller blind alarm Komedie i 5 akter",100,3
"227","manden i portechaisen","Hekseri eller blind alarm Komedie i 5 akter",13,1
"228","marcolfus","Ulysses von Ithacia eller En tysk komedie",25,1
"229","marie","Julestue Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie",20,2
"230","mars","Nytårsprolog til en komedie Allerunderdanigst præsenteret af den hele danske bande 1723",1,1
"231","marthe","Jean de France eller Hans Frandsen Komedie, Uden hoved og hale Komedie",53,2
"232","menander","Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",5,1
"233","mercurius","Nytårsprolog til en komedie Allerunderdanigst præsenteret af den hele danske bande 1723, Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",6,2
"234","mester bonifacius","Barselsstuen Komedie",23,1
"235","mester gert westphaler","Den politiske kandestøber Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie i 1 akt",560,3
"236","mester herman","Hekseri eller blind alarm Komedie i 5 akter",10,1
"237","mithridates","Ulysses von Ithacia eller En tysk komedie",7,1
"238","momus","Nytårsprolog til en komedie Allerunderdanigst præsenteret af den hele danske bande 1723, Uden hoved og hale Komedie",9,2
"239","montanus","Erasmus Montanus eller Rasmus Berg Komedie i 5 akter",217,1
"240","moralisten","Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",3,1
"241","musikanten","Den pantsatte bondedreng Komedie i 3 akter, Den vægelsindede Komedie, Den vægelsindede Komedie i 3 akter",24,3
"242","niels","Erasmus Montanus eller Rasmus Berg Komedie i 5 akter, Mester Gert Westphaler eller Den meget talende barber Komedie",15,2
"243","niels christensen","Den 11. juni",35,1
"244","nille","Erasmus Montanus eller Rasmus Berg Komedie i 5 akter, Jeppe på Bjerget eller Den forvandlede bonde",72,2
"245","notarius","Den stundesløse Komedie i 3 akter, Don Ranudo de Colibrados eller Fattigdom og hoffærdighed Komedie i 5 akter, Henrik og Pernille Komedie i 3 akter, Mester Gert Westphaler eller Den meget talende barber Komedie i 1 akt, Pernilles korte frøkenstand Komedie i 3 akter",42,5
"246","novatianus","Republikken eller Det gemene bedste Komedie i 3 akter",20,1
"247","octavius","Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer",25,1
"248","officeren","Barselsstuen Komedie, Det lykkelige skibbrud Komedie i 5 akter, Diderich Menschenskræk Komedie i 1 akt, Jacob von Tyboe eller Den stortalende soldat Komedie",182,4
"249","ohngeldt","Republikken eller Det gemene bedste Komedie i 3 akter",8,1
"250","oldfux","Den stundesløse Komedie i 3 akter, Det arabiske pulver Komedie, Det lykkelige skibbrud Komedie i 5 akter, Melampe Tragikomedie",188,4
"251","ovidius","Uden hoved og hale Komedie",98,1
"252","pagen","Det lykkelige skibbrud Komedie i 5 akter",1,1
"253","pallas","Ulysses von Ithacia eller En tysk komedie",3,1
"254","paltsgreven","Den pantsatte bondedreng Komedie i 3 akter",26,1
"255","palæstrio","Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",26,1
"256","pandolfus","Melampe Tragikomedie",7,1
"257","paris","Ulysses von Ithacia eller En tysk komedie",18,1
"258","peder","Den stundesløse Komedie i 3 akter",5,1
"259","pedro","Don Ranudo de Colibrados eller Fattigdom og hoffærdighed Komedie i 5 akter, Melampe Tragikomedie",144,2
"260","peer","Den vægelsindede Komedie, Jacob von Tyboe eller Den stortalende soldat Komedie",106,2
"261","peiter","Den pantsatte bondedreng Komedie i 3 akter, Den politiske kandestøber Komedie",11,2
"262","penelope","Ulysses von Ithacia eller En tysk komedie",9,1
"263","penia","Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",22,1
"264","per","Erasmus Montanus eller Rasmus Berg Komedie i 5 akter, Julestue Komedie",75,2
"265","pernille","Den forvandlede brudgom Komedie i 1 akt uden aktører, Den honnette ambition Komedie i 3 akter, Den pantsatte bondedreng Komedie i 3 akter, Den stundesløse Komedie i 3 akter, Den vægelsindede Komedie i 3 akter, Det arabiske pulver Komedie, Det lykkelige skibbrud Komedie i 5 akter, Henrik og Pernille Komedie i 3 akter, Jacob von Tyboe eller Den stortalende soldat Komedie, Julestue Komedie, Kilderejsen Komedie i 3 akter, Maskerade Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie i 1 akt, Pernilles korte frøkenstand Komedie i 3 akter, Philosophus i egen indbildning Komedie i 5 akter, Republikken eller Det gemene bedste Komedie i 3 akter, Uden hoved og hale Komedie",3635,17
