"","speaker","n"
"250","oldfux",188
"251","ovidius",98
"252","pagen",1
"253","pallas",3
"254","palæstrio",26
"255","pandolfus",7
"256","paris",18
"257","peder",5
"258","pedro",144
"259","peer",106
"260","peiter",11
"261","penelope",9
"262","penia",22
"263","per",75
"264","pernille",3635
"265","petronius",267
"266","philemon",54
"267","philocyne",24
"268","pierre",76
"269","pigen",193
"270","plutus",82
"271","poeten",13
"272","poeterne",11
"273","polidorus",126
"274","polyphemus",8
"275","postkarlen",3
"276","proprietær",8
"277","præsten",5
"278","rasmus",23
"279","republikken",85
"280","richart børstenbinder",4
"281","ridefogeden",12
"282","roland",86
"283","rosiflengius",110
"284","rosimunda",10
"285","sanderus",13
"286","schumacher",15
"287","sekretæren",9
"288","sganarel",340
"289","sganarel og dorothea",2
"290","sivert posekigger",7
"291","skolemesteren",43
"292","skriveren",94
"293","skrædderen",4
"294","skyldenborg",72
"295","skærsliberen",4
"296","skøgen",16
"297","soldaten",17
"298","sparenborg",70
"299","spilleren",17
"300","stine",9
"301","studenstrup",215
"302","svenden",8
"303","svinene",5
"304","terentia",127
"305","thalia",1
"306","theophilus",4
"307","timotheus",28
"308","tiresius",6
"309","tjeneren",2
"310","to drenge",2
"311","to lakajer",1
"312","to mænd",2
"313","to soldater med en tambur",2
"314","tobias prokurator",80
"315","torben",73
"316","troels",128
"317","trojaneren",25
"318","trækholdt",13
"319","tutti",14
"320","tvende mænd",5
"321","tyboe",143
"322","tychonius",72
"323","tyven",2
"324","udtolkeren",28
"325","ulysses",134
"326","venus",4
"327","vielgeschrey",315
"328","von qvoten",8
"329","vulcanus",5
"330","vægter",5
"331","vægterne",4
"332","værten",336
"333","æsculapius",1
"334","øllegård",31
